gene_id,Exp_2_3,Neg_1_2
CELE_Y71G12A.3|tub-2,4013,3867
CELE_Y51F10.15|Y51F10.15,0,0
CELE_Y51F10.10|spe-48,1369,1351
CELE_Y51F10.11|spgt-1,942,801
CELE_Y71G12A.2|trpp-10,1788,1815
CELE_Y71G12A.4|Y71G12A.4,80,52
CELE_Y51F10.7|Y51F10.7,24767,19144
CELE_Y51F10.5|hex-4,2193,2093
CELE_Y51F10.4|Y51F10.4,2582,2429
CELE_Y51F10.13|Y51F10.13,0,0
CELE_Y51F10.3|Y51F10.3,3458,3576
CELE_Y51F10.12|Y51F10.12,18,12
CELE_Y51F10.2|grif-1,8605,7835
CELE_Y20F4.3|gap-3,1906,1985
CELE_Y20F4.2|crtc-1,934,1143
CELE_Y20F4.4|Y20F4.4,1099,1094
CELE_Y20F4.8|Y20F4.8,21,18
CELE_Y37E3.5|arl-13,62,75
CELE_Y37E3.26|Y37E3.26,0,0
CELE_Y37E3.22|Y37E3.22,0,3
CELE_Y37E3.28|Y37E3.28,0,0
CELE_Y37E3.1|ttc-5,1595,1367
CELE_Y37E3.3|rpb-10,1593,1550
CELE_Y37E3.4|moag-4,2986,2303
CELE_Y37E3.7|rplp-1,30276,27338
CELE_Y37E3.8|rpl-27A,65779,58969
CELE_Y37E3.21|Y37E3.21,4,2
CELE_Y37E3.9|phb-1,8296,7791
CELE_Y37E3.10|eif-2alpha,10729,9471
CELE_Y37E3.29|Y37E3.29,0,0
CELE_Y37E3.11|pcyt-2.1,4063,3610
CELE_Y37E3.20|Y37E3.20,2,0
CELE_Y37E3.13|iglr-3,259,240
CELE_Y37E3.15|npp-13,7018,7158
CELE_Y37E3.19|Y37E3.19,13,10
CELE_Y37E3.16|fpn-1.1,1304,787
CELE_Y37E3.25|Y37E3.25,0,0
CELE_Y37E3.24|Y37E3.24,0,0
CELE_Y37E3.23|Y37E3.23,0,0
CELE_Y37E3.30|Y37E3.30,112,75
CELE_Y37E3.17|Y37E3.17,11418,11484
CELE_W03F11.6|afd-1,6338,6190
CELE_W03F11.2|gcy-17,0,0
CELE_W03F11.3|dct-9,20,0
CELE_W03F11.4|W03F11.4,190,0
CELE_W03F11.5|W03F11.5,31,44
CELE_W03F11.1|ule-1,9468,9323
CELE_F12B6.2|slc-17.6,1815,935
CELE_Y39G10AL.1|Y39G10AL.1,384,351
CELE_F12B6.1|abt-2,1241,1146
CELE_Y39G10AL.4|Y39G10AL.4,0,0
CELE_Y39G10AL.6|Y39G10AL.6,0,0
CELE_Y39G10AL.5|Y39G10AL.5,0,0
CELE_Y39G10AL.T1|Y39G10AL.t1,0,0
CELE_Y39G10AL.3|cdk-7,3487,3380
CELE_Y39G10AR.11|Y39G10AR.11,6333,6629
CELE_Y39G10AR.12|tpxl-1,9406,9067
CELE_Y39G10AR.10|epg-2,8340,7491
CELE_Y39G10AR.13|icp-1,5781,5981
CELE_Y39G10AR.9|Y39G10AR.9,3765,3723
CELE_Y39G10AR.21|nsun-4,1309,1293
CELE_Y39G10AR.20|tbca-1,1685,1353
CELE_Y39G10AR.30|Y39G10AR.30,0,0
CELE_Y39G10AR.8|eif-2gamma,11274,11848
CELE_Y39G10AR.15|Y39G10AR.15,45,0
CELE_Y39G10AR.32|Y39G10AR.32,735,712
CELE_Y39G10AR.16|Y39G10AR.16,67,20
CELE_Y39G10AR.6|ugt-31,380,113
CELE_Y39G10AR.5|zeel-1,475,453
CELE_Y39G10AR.3|nekl-1,0,0
CELE_Y39G10AR.31|Y39G10AR.31,0,0
CELE_Y39G10AR.29|Y39G10AR.29,0,0
CELE_Y39G10AR.28|Y39G10AR.28,0,0
CELE_Y39G10AR.27|Y39G10AR.27,0,0
CELE_Y39G10AR.7|ekl-7,2868,3009
CELE_Y39G10AR.14|mcm-4,14636,12806
CELE_Y39G10AR.17|sydn-1,356,479
CELE_Y39G10AR.18|dot-1.1,5570,5528
CELE_Y39G10AR.2|zwl-1,6357,6147
CELE_F23C8.7|F23C8.7,60,64
CELE_F23C8.13|F23C8.13,44,39
CELE_F23C8.5|etfb-1,7006,5485
CELE_F23C8.6|did-2,3940,3619
CELE_F23C8.14|F23C8.14,32,15
CELE_F23C8.3|F23C8.3,144,117
CELE_F23C8.10|F23C8.10,0,0
CELE_F23C8.11|F23C8.11,0,0
CELE_T16H5.1|inx-19,54,53
CELE_F23C8.8|F23C8.8,78,40
CELE_F23C8.9|tipn-1,1487,1315
CELE_F23C8.4|ubxn-1,4176,4103
